step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
375,PAYMENT,15327.39,C2042614307,1837.0,0.0,M888326105,0.0,0.0,0
357,TRANSFER,51684.59,C711589968,16954.0,0.0,C1578145599,3465705.77,3517390.36,0
302,CASH_OUT,198072.96,C1065971171,5573.0,0.0,C1880394910,7508955.92,7322192.34,0
180,PAYMENT,2213.06,C1696281153,17934.0,15720.94,M1578741933,0.0,0.0,0
396,CASH_IN,179259.94,C1482302259,942782.0,1122041.94,C432628944,294650.15,115390.2,0
162,CASH_OUT,103973.95,C112933826,0.0,0.0,C384807747,445889.29,549863.24,0
45,TRANSFER,802708.66,C1593095356,112753.65,0.0,C213632991,11106286.36,11908995.02,0
256,PAYMENT,1375.57,C1694962589,0.0,0.0,M1345709831,0.0,0.0,0
262,CASH_IN,281745.57,C702369624,2170566.42,2452311.99,C1150440369,2702242.06,2420496.49,0
228,TRANSFER,497526.17,C1294188821,497526.17,0.0,C1799178468,0.0,0.0,1
686,CASH_OUT,198043.93,C1582832873,198043.93,0.0,C1178877830,17003.34,215047.27,1
10,CASH_IN,447051.28,C325440335,3591144.75,4038196.04,C1087546948,833566.98,406782.55,0
181,PAYMENT,9639.0,C1158901624,535717.99,526079.0,M1059913913,0.0,0.0,0
137,PAYMENT,10220.79,C285493782,19844.0,9623.21,M1131503718,0.0,0.0,0
403,CASH_OUT,49678.45,C767920731,14448.0,0.0,C2139177296,0.0,49678.45,0
279,CASH_OUT,15657.58,C835239376,0.0,0.0,C400480903,811777.18,827434.76,0
159,CASH_IN,167639.7,C199893325,54164.0,221803.7,C941698536,3119103.24,2951463.55,0
234,PAYMENT,8145.04,C143042036,0.0,0.0,M1587058411,0.0,0.0,0
14,CASH_IN,163742.38,C1659357414,70813.08,234555.45,C79281017,4445506.04,4393266.71,0
327,PAYMENT,9146.81,C1026625659,261356.67,252209.86,M1182915063,0.0,0.0,0
139,CASH_OUT,187716.86,C863870680,0.0,0.0,C860083072,1146982.17,1334699.03,0
305,CASH_IN,75960.78,C1850029491,6838791.28,6914752.06,C368560590,1608715.89,1532755.12,0
253,PAYMENT,23247.23,C2033935959,161009.57,137762.34,M828303111,0.0,0.0,0
167,PAYMENT,8558.89,C1549441098,11831.0,3272.11,M1149753371,0.0,0.0,0
394,CASH_OUT,152810.62,C617417258,134347.71,0.0,C819401292,1098350.03,1251160.66,0
38,CASH_OUT,197269.24,C1146320122,62411.0,0.0,C428905130,425773.45,623042.69,0
285,PAYMENT,1642.07,C948405807,0.0,0.0,M1547940782,0.0,0.0,0
43,PAYMENT,7873.57,C977475645,792.0,0.0,M1283738712,0.0,0.0,0
355,PAYMENT,9138.77,C1858543870,315043.65,305904.88,M405698643,0.0,0.0,0
335,CASH_IN,273661.97,C1085992702,7473894.1,7747556.07,C527492773,2264189.53,1990527.55,0
22,PAYMENT,3690.76,C1751489352,12674.58,8983.82,M1787110247,0.0,0.0,0
648,CASH_OUT,468638.03,C1409902854,468638.03,0.0,C1543232665,3070090.72,3538728.75,1
139,PAYMENT,1326.25,C2122846094,67531.06,66204.8,M399485539,0.0,0.0,0
349,CASH_OUT,67597.83,C708062095,0.0,0.0,C1433779445,9725166.64,9792764.47,0
161,CASH_OUT,407288.9,C372096799,19700.0,0.0,C313531403,1038391.86,1445680.76,0
403,PAYMENT,2807.99,C957421115,75244.02,72436.03,M379204337,0.0,0.0,0
306,CASH_OUT,71921.99,C974820635,16818.0,0.0,C1857355441,811323.81,849700.74,0
21,PAYMENT,2205.86,C746016103,39.0,0.0,M411288864,0.0,0.0,0
325,PAYMENT,8621.36,C1488135942,0.0,0.0,M651019114,0.0,0.0,0
156,CASH_IN,102828.02,C827059760,508363.0,611191.02,C178126215,0.0,0.0,0
299,CASH_IN,101883.65,C1716277644,6365373.98,6467257.63,C1295426084,5651351.55,5549467.9,0
44,PAYMENT,3106.26,C421519778,75034.24,71927.99,M354306587,0.0,0.0,0
610,TRANSFER,528149.74,C1626028230,528149.74,0.0,C581480789,0.0,0.0,1
281,CASH_OUT,55595.85,C894707715,0.0,0.0,C1899557300,143780.58,199376.43,0
373,CASH_IN,118464.24,C927563792,25467185.21,25585649.45,C1612841343,166748.39,48284.15,0
346,CASH_OUT,169082.9,C1939972770,31674.0,0.0,C1502937715,258999.61,428082.51,0
688,CASH_OUT,105104.38,C2086093467,20691.0,0.0,C1791974550,3863.85,108968.23,0
275,PAYMENT,11843.88,C1785769170,18163.02,6319.14,M729761822,0.0,0.0,0
184,PAYMENT,10495.42,C1175242325,27147.56,16652.14,M1341272669,0.0,0.0,0
690,CASH_OUT,19304.38,C1232754089,26332.0,7027.62,C999147330,650991.6,670295.98,0
259,CASH_OUT,85167.08,C1902795396,4011.0,0.0,C1398777875,0.0,85167.08,0
260,CASH_IN,38202.16,C1606627233,50365.0,88567.16,C1849198041,26849.0,0.0,0
253,PAYMENT,164.35,C784451637,0.0,0.0,M2117349942,0.0,0.0,0
135,PAYMENT,11170.06,C1868014182,0.0,0.0,M501416769,0.0,0.0,0
210,CASH_OUT,117665.07,C638108117,0.0,0.0,C421253239,140201.08,257866.15,0
280,TRANSFER,89926.58,C1721022973,0.0,0.0,C1959127954,724879.94,814806.52,0
40,CASH_IN,166703.46,C2143791496,1948566.71,2115270.17,C1185043223,281363.84,114660.38,0
162,CASH_IN,231630.2,C2092753731,16713.0,248343.2,C180352051,160950.06,0.0,0
